,Median absolute error_TR,Median absolute error_TE,Median absolute error (adjusted)_TR,Median absolute error (adjusted)_TE,Mean absolute error_TR,Mean absolute error_TE,Mean absolute error (adjusted)_TR,Mean absolute error (adjusted)_TE,R^2 score_TR,R^2 score_TE,R^2 score (adjusted)_TR,R^2 score (adjusted)_TE,features
" :LinearSVR: C: 0.5, dual: False, loss: squared_epsilon_insensitive__permutation_small",5.768168305343725,5.726860140189105,0.0,0.0,7.671353100296042,7.662027674629526,3.2056172805273686,3.1480581562124312,0.9434851768587192,0.9427683278349717,0.9682701565807633,0.9675093146868009,"['DEP_DELAY', 'CRS_ELAPSED_TIME', 'DISTANCE', 'TAXI_OUT', 'PREV_AVG_ARR_DELAY', 'PREV_AVG_DELAY', 'ORIGIN_LAX', 'ORIGIN_SFO', 'OP_CARRIER_UA', 'ORIGIN_ATL', 'DEST_ATL', 'OP_CARRIER_VX', 'DEST_SFO', 'DEST_CLT', 'ORIGIN_LAS', 'ORIGIN_CLT', 'DEST_LAX', 'OP_CARRIER_WN', 'DATE_NORM', 'OP_CARRIER_9E']"
" :LinearSVR: C: 0.5, dual: False, loss: squared_epsilon_insensitive__permutation_big",5.75349339212319,5.717641538654695,0.0,0.0,7.645075917942646,7.626632266165029,3.1942055390445576,3.142407028580181,0.9438124669651933,0.9430425776174357,0.9684335369409263,0.9675567346092445,"['DEP_DELAY', 'CRS_ELAPSED_TIME', 'DISTANCE', 'TAXI_OUT', 'PREV_AVG_ARR_DELAY', 'PREV_AVG_DELAY', 'ORIGIN_LAX', 'ORIGIN_SFO', 'OP_CARRIER_UA', 'ORIGIN_ATL', 'DEST_ATL', 'OP_CARRIER_VX', 'DEST_SFO', 'DEST_CLT', 'ORIGIN_LAS', 'ORIGIN_CLT', 'DEST_LAX', 'OP_CARRIER_DL', 'ORIGIN_PHX', 'OP_CARRIER_WN', 'DATE_NORM', 'WHEELS_OFF', 'CRS_ARR_TIME_ADJ', 'FL_DATE_DAYOFWEEK', 'vis_distance_dep', 'OP_CARRIER_9E']"
" :LinearSVR: C: 0.5, dual: False, loss: squared_epsilon_insensitive__select_from_model",5.89358943039235,5.8968989755538,0.0,0.0,7.772735498389414,7.7790067860060965,3.2646029624940858,3.2186196499171347,0.9424635095028413,0.9414240203739892,0.9674691987635032,0.9665163085697159,"['TAXI_OUT', 'DEP_DELAY', 'CRS_ELAPSED_TIME', 'DISTANCE', 'PREV_AVG_DELAY', 'PREV_AVG_ARR_DELAY', 'OP_CARRIER_DL', 'OP_CARRIER_OH', 'OP_CARRIER_WN', 'ORIGIN_ATL', 'ORIGIN_LAS', 'ORIGIN_LAX', 'ORIGIN_SFO', 'DEST_ATL', 'DEST_CLT']"
 :SGDRegressor: alpha: 5e-05__all,5.985173795208208,5.940225978451261,0.0,0.0,8.001282485763387,8.033649035521798,3.3687406304333134,3.3646111301577477,0.9373264953552001,0.9352508304707924,0.962888907965985,0.9606701380317502,__all__
 :SGDRegressor: alpha: 5e-05__permutation_small,6.124825753043135,6.037407369472399,0.0,0.0,8.115266879531955,8.146358106180706,3.402760646635476,3.3996516788126945,0.9364959711819459,0.9342091369927773,0.9628142421662551,0.9605151283266664,"['DEP_DELAY', 'CRS_ELAPSED_TIME', 'DISTANCE', 'TAXI_OUT', 'PREV_AVG_ARR_DELAY', 'OP_CARRIER_UA', 'ORIGIN_LAX', 'ORIGIN_SFO', 'DEST_ATL', 'OP_CARRIER_DL', 'ORIGIN_LAS', 'OP_CARRIER_VX', 'DEST_CLT', 'OP_CARRIER_AA', 'DEST_DFW', 'WHEELS_OFF', 'PREV_AVG_DELAY', 'DEST_SFO', 'DATE_NORM', 'ORIGIN_PHX', 'ORIGIN_ATL', 'OP_CARRIER_WN', 'CRS_ARR_TIME_ADJ']"
 :SGDRegressor: alpha: 5e-05__permutation_big,6.117352210615554,6.06502139452576,0.0,0.0,8.083092517006072,8.112498564881678,3.3811375512281128,3.3771215872653255,0.937130851265433,0.934946867561291,0.9632935337302798,0.9610293272956194,"['DEP_DELAY', 'CRS_ELAPSED_TIME', 'DISTANCE', 'TAXI_OUT', 'PREV_AVG_ARR_DELAY', 'OP_CARRIER_UA', 'ORIGIN_LAX', 'ORIGIN_SFO', 'DEST_ATL', 'OP_CARRIER_DL', 'ORIGIN_LAS', 'OP_CARRIER_VX', 'DEST_CLT', 'OP_CARRIER_AA', 'DEST_DFW', 'WHEELS_OFF', 'PREV_AVG_DELAY', 'DEST_SFO', 'DATE_NORM', 'ORIGIN_PHX', 'ORIGIN_ATL', 'DEST_ORD', 'DEST_IAH', 'OP_CARRIER_WN', 'CRS_ARR_TIME_ADJ', 'DEST_DEN', 'ORIGIN_DFW', 'DEST_PHX', 'ORIGIN_CLT', 'vis_distance_dep', 'FL_DATE_DAYOFWEEK', 'OP_CARRIER_9E']"
 :SGDRegressor: alpha: 5e-05__select_from_model,6.443596900632173,6.442451221077016,0.0,0.0,8.439761881649614,8.474097065675405,3.5501102390199537,3.5328396087384393,0.9325699048132969,0.9306695948913768,0.9607653558608529,0.9587285357462267,"['TAXI_OUT', 'DEP_DELAY', 'CRS_ELAPSED_TIME', 'DISTANCE', 'PREV_AVG_DELAY', 'PREV_AVG_ARR_DELAY']"
" :SGDRegressor: penalty: l1, alpha: 5e-05__all",5.9095917071224235,5.883052595175782,0.0,0.0,7.864484036953613,7.873328667392631,3.24067510609491,3.212735284475459,0.9406973100503601,0.9391852087944528,0.9670130808996,0.9654677260884057,__all__
" :SGDRegressor: penalty: l1, alpha: 5e-05__permutation_small",5.952860158593143,5.8321004690619045,0.0,0.0,7.881341959837911,7.8756707885435,3.244755419664562,3.2157110508663407,0.9405573085711674,0.9390791442150087,0.9670847699244969,0.9655667907266402,"['DEP_DELAY', 'CRS_ELAPSED_TIME', 'DISTANCE', 'TAXI_OUT', 'ORIGIN_LAX', 'ORIGIN_SFO', 'OP_CARRIER_UA', 'PREV_AVG_ARR_DELAY', 'DEST_ATL', 'OP_CARRIER_DL', 'ORIGIN_LAS', 'DEST_CLT', 'DEST_DFW', 'OP_CARRIER_VX', 'PREV_AVG_DELAY', 'OP_CARRIER_AA', 'DEST_ORD', 'ORIGIN_PHX', 'ORIGIN_ATL', 'DATE_NORM', 'DEST_DEN', 'WHEELS_OFF', 'ORIGIN_DFW', 'DEST_SFO', 'vis_distance_dep', 'OP_CARRIER_9E']"
" :SGDRegressor: penalty: l1, alpha: 5e-05__permutation_big",5.922876881862635,5.878284283680627,0.0,0.0,7.848675470655194,7.836916192934369,3.229918400078638,3.196742823145811,0.940952196254165,0.9396217398864563,0.967322460157758,0.965885792604542,"['DEP_DELAY', 'CRS_ELAPSED_TIME', 'DISTANCE', 'TAXI_OUT', 'ORIGIN_LAX', 'ORIGIN_SFO', 'OP_CARRIER_UA', 'PREV_AVG_ARR_DELAY', 'DEST_ATL', 'OP_CARRIER_DL', 'ORIGIN_LAS', 'DEST_CLT', 'DEST_DFW', 'OP_CARRIER_VX', 'PREV_AVG_DELAY', 'OP_CARRIER_AA', 'DEST_ORD', 'ORIGIN_PHX', 'DEST_IAH', 'ORIGIN_ATL', 'DATE_NORM', 'DEST_DEN', 'WHEELS_OFF', 'ORIGIN_DFW', 'DEST_SFO', 'DEST_PHX', 'OP_CARRIER_WN', 'ORIGIN_IAH', 'CRS_ARR_TIME_ADJ', 'vis_distance_dep', 'FL_DATE_DAYOFWEEK', 'ORIGIN_CLT', 'OP_CARRIER_9E']"
